sample_id,temperature_C,humidity_pct,power_kW,airflow_cfm,water_flow_L,smoke_ppm,water_leak,motion_detected,door_open,hour_of_day,cooling_mode,PUE,WUE,alert_flag,temperature_C_raw,humidity_pct_raw,power_kW_raw,airflow_cfm_raw,water_flow_L_raw,smoke_ppm_raw,temperature_C_delta,humidity_pct_delta,power_kW_delta,airflow_cfm_delta,water_flow_L_delta,smoke_ppm_delta,temperature_C_rollstd,humidity_pct_rollstd,power_kW_rollstd,airflow_cfm_rollstd,water_flow_L_rollstd,smoke_ppm_rollstd,hour_sin,hour_cos,flag_temp_high,flag_smoke_warn,flag_smoke_crit,flag_humidity_low,flag_humidity_high,flag_power_high,flag_airflow_low,flag_night_motion,label_encoded
1,0.12973809260691782,0.48502701459937936,0.11718603439291297,0.43129608038468925,0.042541509491515084,0.019211102296730315,0,0,0,22,air,1.541,0.847,0,21.89,47.77,57.52,744.4,9.94,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.866,0,0,0,0,0,0,0,0,0
2,0.6074151839982318,0.29434417749166575,0.6456904637832204,0.07414249846915533,0.025103964372502563,0.8459575444197005,0,0,0,13,emergency,2.403,0.295,2,39.18,34.5,108.23,197.3,6.51,387.5,0.4777,-0.1907,0.5285,-0.3572,-0.0174,0.8267,0.3378,0.1348,0.3737,0.2525,0.0123,0.5846,-0.2588,-0.9659,0,1,1,0,0,0,1,0,1
3,0.5964747485910045,0.4107943441774917,0.7405732152162585,0.43321143152587027,0.20525464916472638,0.6035105661062632,0,0,0,10,evaporative,1.269,2.528,1,29.94,53.29,96.53,1295.9,61.38,62.3,-0.0109,0.1165,0.0949,0.3591,0.1802,-0.2424,0.2727,0.0961,0.3359,0.2068,0.0994,0.425,0.5,-0.866,0,1,0,0,0,0,0,0,2
4,0.48845176262570456,0.4669214852281873,0.6120687858259508,0.44755110540698284,0.17350103201797645,0.4702180125588997,0,0,0,15,air,1.411,0.907,0,22.52,53.0,62.77,789.8,13.45,52.2,-0.108,0.0561,-0.1285,0.0143,-0.0318,-0.1333,0.2237,0.086,0.2798,0.1817,0.091,0.3471,-0.7071,-0.7071,0,1,0,0,0,0,0,0,0
5,0.4555199469554647,0.6678066444418902,0.5302344971339237,0.467592441478646,0.5411637909121413,0.3857512879084749,1,0,0,5,emergency,1.632,5.633,2,25.4,82.09,61.63,833.6,203.62,47.5,-0.0329,0.2009,-0.0818,0.02,0.3677,-0.0845,0.1938,0.1356,0.2423,0.1664,0.2076,0.3039,0.9659,0.2588,0,0,0,0,0,0,0,0,1
6,0.5830478505912255,0.6941889872399127,0.6985721730067744,0.5506040471748245,0.6269585464306414,0.4049623902052052,0,0,0,21,evaporative,1.315,2.592,1,33.43,52.36,97.9,1062.3,52.13,61.6,0.1275,0.0264,0.1683,0.083,0.0858,0.0192,0.0693,0.171,0.081,0.1848,0.2572,0.1901,-0.7071,0.7071,0,1,0,0,0,0,0,0,2
7,0.39860758094817106,0.8071330037935398,0.4702866076081289,0.6879296320619598,0.6336081992048888,0.07474170147285117,0,0,0,0,air,1.418,0.997,0,22.49,54.15,53.47,723.2,9.78,42.0,-0.1844,0.1129,-0.2283,0.1373,0.0066,-0.3302,0.0844,0.1654,0.1127,0.1056,0.2284,0.1947,0.0,1.0,0,0,0,0,1,0,0,0,0
8,0.3976129959111503,0.7880503506150134,0.41404898384575284,0.6871201448720946,0.6168925582861384,0.07722671968038844,0,0,0,17,evaporative,1.304,2.638,1,29.85,49.97,83.04,1292.8,53.16,64.9,-0.001,-0.0191,-0.0562,-0.0008,-0.0167,0.0025,0.0767,0.1355,0.113,0.1156,0.1964,0.1912,-0.9659,-0.2588,0,0,0,0,0,0,0,0,2
9,0.46734445795115476,0.7590240257500864,0.5529963522668053,0.8464585588255648,0.6983965592622343,0.08754910300400473,0,0,0,0,evaporative,1.248,2.38,1,28.83,47.95,96.1,1400.0,53.53,63.0,0.0697,-0.029,0.1389,0.1593,0.0815,0.0103,0.0756,0.0601,0.1071,0.1454,0.056,0.173,0.0,1.0,0,0,0,0,0,0,0,0,2
10,0.4215935462482041,0.570324175192551,0.546659718603439,0.8431422725961167,0.30246769224512204,0.08248348896556343,0,0,0,10,air,1.565,0.812,0,21.26,49.26,60.11,820.9,8.92,42.2,-0.0458,-0.1887,-0.0063,-0.0033,-0.3959,-0.0051,0.0777,0.0958,0.1073,0.1244,0.156,0.1452,0.5,-0.866,0,0,0,0,0,0,0,0,0
11,0.2892032268758977,0.5940050580526497,0.37227722772277194,0.760078441919947,0.21632723612367946,0.08726237013390428,0,0,0,2,air,1.593,0.886,0,21.45,56.48,56.07,744.2,9.77,66.6,-0.1324,0.0237,-0.1744,-0.0831,-0.0861,0.0048,0.0655,0.1126,0.0797,0.0787,0.218,0.0058,0.5,0.866,0,0,0,0,0,0,0,0,0
12,0.28113603713117463,0.3985228187147949,0.4164669098488796,0.7927973918844992,0.21451739179062743,0.08611543865350244,0,1,0,6,humidity_warn,1.472,0.819,1,21.76,20.14,64.07,848.5,8.89,40.8,-0.0081,-0.1955,0.0442,0.0327,-0.0018,-0.0011,0.0826,0.1579,0.0835,0.066,0.2309,0.0044,1.0,0.0,0,0,0,0,0,0,0,0,3
13,0.4196043761741628,0.30678813656742165,0.5676706618030223,0.4935482565343242,0.11090888755579509,0.3654888317547096,0,0,0,7,emergency,2.671,0.28,2,42.38,34.01,119.31,146.8,2.21,357.2,0.1385,-0.0917,0.1512,-0.2992,-0.1036,0.2794,0.0849,0.1769,0.0901,0.1463,0.2283,0.1251,0.9659,-0.2588,0,0,0,0,0,0,0,0,1
14,0.4360702840092827,0.34253937234164855,0.536237623762376,0.44526626253236323,0.10322213297272015,0.37800950041576264,0,1,1,0,evaporative,1.329,2.369,1,30.32,54.17,88.56,1215.1,49.75,76.1,0.0165,0.0358,-0.0314,-0.0483,-0.0077,0.0125,0.0773,0.1319,0.0875,0.1836,0.0833,0.157,0.0,1.0,0,0,0,0,0,0,0,1,2
15,0.4391645485689024,0.37265777675594913,0.5163939551849919,0.38839325932183255,0.10318146231355046,0.3885230389861126,0,1,0,23,security_alert,1.521,0.815,2,21.54,54.5,55.35,603.1,8.9,53.2,0.0031,0.0301,-0.0198,-0.0569,-0.0,0.0105,0.0806,0.1122,0.0834,0.1871,0.0601,0.1594,-0.2588,0.9659,0,0,0,0,0,0,0,1,4
16,0.42667698088186534,0.34972410621910566,0.5060552371026574,0.40074446708977607,0.10413722280403859,0.3775316122989286,0,0,0,0,air,1.534,0.847,0,20.32,52.49,53.59,791.5,10.24,55.1,-0.0125,-0.0229,-0.0103,0.0124,0.001,-0.011,0.0672,0.0343,0.0566,0.1666,0.0489,0.1305,0.0,1.0,0,0,0,0,0,0,0,0,0
17,0.4148524698861753,0.5504943096907693,0.4865033871808231,0.40030055475984994,0.0997854622728798,0.3896699704665144,0,0,0,19,air,1.575,0.931,0,20.69,55.07,59.38,846.8,6.75,53.5,-0.0118,0.2008,-0.0196,-0.0004,-0.0044,0.0121,0.0104,0.0958,0.031,0.0437,0.0041,0.0098,-0.9659,0.2588,0,0,0,0,0,0,0,0,0
18,0.1902972704166206,0.6647028394068284,0.2666388744137569,0.5683344278818724,0.12207298349788007,0.11813394248138628,0,0,0,19,air,1.454,0.623,0,22.06,53.88,66.57,790.3,13.17,73.1,-0.2246,0.1142,-0.2199,0.168,0.0223,-0.2715,0.1073,0.1446,0.1109,0.0746,0.0089,0.1188,-0.9659,0.2588,0,0,0,0,0,0,0,0,0
19,0.16432755000552524,0.6500459822968159,0.3211255862428346,0.5525363714345027,0.13710079206108733,0.15990136389268542,0,0,0,14,evaporative,1.31,2.145,1,27.97,51.62,101.63,1154.6,57.14,119.8,-0.026,-0.0147,0.0545,-0.0158,0.015,0.0418,0.1373,0.1495,0.1166,0.0901,0.0159,0.1358,-0.5,-0.866,0,0,0,0,0,0,0,0,2
20,0.3825837109072825,0.5394010805839753,0.4597394476289731,0.43636190344384573,0.13311506746245588,0.5200378487388533,0,0,0,11,emergency,2.359,0.245,2,41.29,35.25,88.6,158.2,6.94,430.0,0.2183,-0.1106,0.1386,-0.1162,-0.004,0.3601,0.1277,0.1259,0.1072,0.0825,0.0168,0.1691,0.2588,-0.9659,0,1,0,0,0,0,0,0,1
21,0.3847938998784395,0.5513564777560642,0.47599791558103144,0.4613776688596808,0.1341318339416986,0.5140164584667437,0,0,0,0,air,1.417,0.841,0,20.52,54.57,57.49,887.3,10.74,48.8,0.0022,0.012,0.0163,0.025,0.001,-0.006,0.1198,0.0608,0.101,0.0735,0.0153,0.1916,0.0,1.0,0,1,0,0,0,0,0,0,0
